song,artist,genre,mood,tempo,energy
Love Story,Taylor Swift,Country,Romantic,Medium,Medium
You Belong With Me,Taylor Swift,Country,Happy,Medium,Medium
Shake It Off,Taylor Swift,Pop,Happy,Fast,High
Wildest Dreams,Taylor Swift,Pop,Romantic,Medium,Medium
Enchanted,Taylor Swift,Pop,Romantic,Slow,Medium
All Too Well,Taylor Swift,Pop,Emotional,Slow,Medium
August,Taylor Swift,Alternative,Emotional,Medium,Medium
Fortnight,Taylor Swift,Pop,Dark,Medium,Medium
The Hills,The Weeknd,R&B,Dark,Medium,High
Call Out My Name,The Weeknd,R&B,Sad,Slow,Medium
I Feel It Coming,The Weeknd,R&B,Chill,Medium,Medium
Earned It,The Weeknd,R&B,Romantic,Slow,Medium
Less Than Zero,The Weeknd,Pop,Emotional,Medium,Medium
Love Me Like You Do,Ellie Goulding,Pop,Romantic,Medium,High
Burn,Ellie Goulding,Electronic,Energetic,Fast,High
Lights,Ellie Goulding,Electronic,Chill,Medium,Medium
Chandelier,Sia,Pop,Emotional,Fast,High
Cheap Thrills,Sia,Pop,Happy,Fast,High
Unstoppable,Sia,Pop,Energetic,Medium,High
Elastic Heart,Sia,Pop,Emotional,Medium,High
Halo,Beyonce,R&B,Romantic,Medium,High
Love On Top,Beyonce,R&B,Happy,Fast,High
Crazy In Love,Beyonce,R&B,Energetic,Fast,High
If I Were A Boy,Beyonce,R&B,Sad,Slow,Medium
Single Ladies,Beyonce,Pop,Happy,Fast,High
Umbrella,Rihanna,R&B,Chill,Medium,Medium
Diamonds,Rihanna,Pop,Emotional,Medium,Medium
We Found Love,Rihanna,Electronic,Energetic,Fast,High
Stay,Rihanna,R&B,Sad,Slow,Low
Only Girl,Rihanna,Electronic,Energetic,Fast,High
Firework,Katy Perry,Pop,Energetic,Medium,High
Roar,Katy Perry,Pop,Energetic,Medium,High
Dark Horse,Katy Perry,Pop,Dark,Medium,High
Teenage Dream,Katy Perry,Pop,Happy,Fast,High
The One That Got Away,Katy Perry,Pop,Sad,Medium,Medium
Bad Romance,Lady Gaga,Pop,Dark,Fast,High
Poker Face,Lady Gaga,Pop,Dark,Fast,High
Shallow,Lady Gaga and Bradley Cooper,Pop,Emotional,Slow,Medium
Always Remember Us This Way,Lady Gaga,Pop,Romantic,Slow,Medium
Rain On Me,Lady Gaga and Ariana Grande,Pop,Energetic,Fast,High
Thank U Next,Ariana Grande,Pop,Chill,Medium,Medium
7 Rings,Ariana Grande,Pop,Dark,Medium,High
Into You,Ariana Grande,Pop,Energetic,Fast,High
One Last Time,Ariana Grande,Pop,Emotional,Medium,High
Positions,Ariana Grande,R&B,Romantic,Medium,Medium
Attention,Charlie Puth,Pop,Dark,Medium,Medium
We Don't Talk Anymore,Charlie Puth,Pop,Emotional,Medium,Medium
See You Again,Wiz Khalifa and Charlie Puth,Hip-Hop,Emotional,Slow,Medium
One Call Away,Charlie Puth,Pop,Romantic,Medium,Medium
How Long,Charlie Puth,Pop,Chill,Medium,Medium
Treat People With Kindness,Harry Styles,Pop,Happy,Fast,High
Adore You,Harry Styles,Pop,Romantic,Medium,Medium
Sign of the Times,Harry Styles,Rock,Emotional,Slow,Medium
Golden,Harry Styles,Pop,Happy,Fast,High
Satellite,Harry Styles,Pop,Chill,Medium,Medium
