song,artist,genre,mood,tempo,energy
Anti-Hero,Taylor Swift,Pop,Emotional,Medium,Medium
Blinding Lights,The Weeknd,Pop,Energetic,Fast,High
Believer,Imagine Dragons,Rock,Energetic,Fast,High
Someone Like You,Adele,Pop,Sad,Slow,Low
Shape of You,Ed Sheeran,Pop,Happy,Medium,Medium
Bad Guy,Billie Eilish,Alternative,Dark,Medium,Medium
Levitating,Dua Lipa,Pop,Happy,Fast,High
Viva La Vida,Coldplay,Rock,Emotional,Medium,Medium
Sunflower,Post Malone and Swae Lee,Hip-Hop,Chill,Medium,Medium
Stay,The Kid LAROI and Justin Bieber,Pop,Energetic,Fast,High
Perfect,Ed Sheeran,Pop,Romantic,Slow,Low
Thunder,Imagine Dragons,Rock,Energetic,Medium,High
Watermelon Sugar,Harry Styles,Pop,Happy,Medium,Medium
Happier Than Ever,Billie Eilish,Alternative,Emotional,Slow,Medium
Counting Stars,OneRepublic,Pop,Energetic,Fast,High
Let Her Go,Passenger,Folk,Sad,Slow,Low
Dance Monkey,Tones and I,Pop,Happy,Fast,High
Circles,Post Malone,Hip-Hop,Chill,Medium,Medium
Yellow,Coldplay,Rock,Romantic,Slow,Low
Drivers License,Olivia Rodrigo,Pop,Sad,Slow,Medium
Enemy,Imagine Dragons and JID,Rock,Dark,Fast,High
Heat Waves,Glass Animals,Alternative,Chill,Medium,Medium
As It Was,Harry Styles,Pop,Emotional,Fast,Medium
Lose Yourself,Eminem,Hip-Hop,Energetic,Fast,High
Riptide,Vance Joy,Folk,Happy,Medium,Medium
Cruel Summer,Taylor Swift,Pop,Energetic,Fast,High
Style,Taylor Swift,Pop,Romantic,Medium,Medium
Blank Space,Taylor Swift,Pop,Dark,Medium,Medium
Die For You,The Weeknd,R&B,Romantic,Medium,Medium
Save Your Tears,The Weeknd,Pop,Emotional,Medium,Medium
Starboy,The Weeknd,R&B,Dark,Fast,High
Lovely,Billie Eilish and Khalid,Alternative,Sad,Slow,Low
Ocean Eyes,Billie Eilish,Alternative,Chill,Slow,Low
Radioactive,Imagine Dragons,Rock,Dark,Medium,High
Demons,Imagine Dragons,Rock,Emotional,Medium,Medium
Photograph,Ed Sheeran,Pop,Romantic,Slow,Low
Thinking Out Loud,Ed Sheeran,Pop,Romantic,Slow,Low
Rolling in the Deep,Adele,Pop,Energetic,Medium,High
Easy On Me,Adele,Pop,Sad,Slow,Low
Hello,Adele,Pop,Sad,Slow,Medium
Fix You,Coldplay,Rock,Emotional,Slow,Low
The Scientist,Coldplay,Rock,Sad,Slow,Low
A Sky Full of Stars,Coldplay,Pop,Energetic,Fast,High
Congratulations,Post Malone,Hip-Hop,Energetic,Medium,High
Rockstar,Post Malone,Hip-Hop,Dark,Medium,High
Peaches,Justin Bieber,R&B,Chill,Medium,Medium
Ghost,Justin Bieber,Pop,Emotional,Medium,Medium
Sorry,Justin Bieber,Pop,Happy,Fast,High
Uptown Funk,Mark Ronson and Bruno Mars,Funk,Happy,Fast,High
Just the Way You Are,Bruno Mars,Pop,Romantic,Medium,Medium
When I Was Your Man,Bruno Mars,Pop,Sad,Slow,Low
Locked Out of Heaven,Bruno Mars,Funk,Energetic,Fast,High
Sicko Mode,Travis Scott,Hip-Hop,Dark,Fast,High
Goosebumps,Travis Scott,Hip-Hop,Dark,Medium,High
God's Plan,Drake,Hip-Hop,Chill,Medium,Medium
Hotline Bling,Drake,R&B,Chill,Medium,Medium
Passionfruit,Drake,R&B,Chill,Medium,Medium
Good 4 U,Olivia Rodrigo,Rock,Energetic,Fast,High
Deja Vu,Olivia Rodrigo,Pop,Emotional,Medium,Medium
Vampire,Olivia Rodrigo,Pop,Dark,Medium,High
Flowers,Miley Cyrus,Pop,Happy,Medium,Medium
Wrecking Ball,Miley Cyrus,Pop,Emotional,Slow,High
Havana,Camila Cabello,Latin,Romantic,Medium,Medium
