song,artist,genre,mood,tempo,energy
云中帆,双笙 (陈元汐),Mandopop,Chill,Medium,Medium
人间惊鸿客,叶里,Mandopop,Chill,Medium,Medium
人生主旋律,茶二娘,Mandopop,Chill,Medium,Medium
小神仙,郭斯,Mandopop,Chill,Medium,Medium
赐我,一只白羊,Mandopop,Chill,Medium,Medium
鸳鸯戏,张含韵,Mandopop,Chill,Medium,Medium
琴师,音频怪物,Mandopop,Dark,Medium,High
探故知,浅影阿 / 汐音社,Mandopop,Chill,Medium,Medium
生而为匠,付遮书,Mandopop,Chill,Medium,Medium
半生雪,七叔（叶泽浩）,Mandopop,Chill,Medium,Medium
朝朝如念,Joysaaaa,Mandopop,Chill,Medium,Medium
长安别,王玉萌,Mandopop,Chill,Medium,Medium
浪人琵琶,胡66,Mandopop,Chill,Medium,Medium
离人赋,云汐,Mandopop,Chill,Medium,Medium
落了白,蒋雪儿Snow.J,Mandopop,Chill,Medium,Medium
相思遥,魏玉慧,Mandopop,Chill,Medium,Medium
桃花签,呦猫UNEKO / 薄彩生,Mandopop,Chill,Medium,Medium
小人间,双笙 (陈元汐),Mandopop,Chill,Medium,Medium
岁月划呀划,杠杠 .,Mandopop,Chill,Medium,Medium
不让风知道,画久,Mandopop,Chill,Medium,Medium
风月入画,一只白羊,Mandopop,Chill,Medium,Medium
春风谣,Lorien / 国风音乐联盟,Mandopop,Chill,Medium,Medium
万古如今,镜予歌 / 袁雨桐 / 不馋 / 塔塔Anita,Mandopop,Chill,Medium,Medium
泛舟长梦,胡66,Mandopop,Chill,Medium,Medium
你要等,小阿七,Mandopop,Chill,Medium,Medium
循梦,余又,Mandopop,Chill,Medium,Medium
沧海飞尘,银临,Mandopop,Chill,Medium,Medium
三拜红尘凉,尹昔眠,Mandopop,Chill,Medium,Medium
落在生命里的光,尹昔眠,Mandopop,Chill,Medium,Medium
时光背面的我,刘至佳 / 韩瞳,Mandopop,Chill,Medium,Medium
白日忽一梦,双笙 (陈元汐),Mandopop,Chill,Medium,Medium
谪居,浅影阿 / 汐音社,Mandopop,Chill,Medium,Medium
千秋入画,漆柚 / 椒椒JMJ,Mandopop,Chill,Medium,Medium
春日信笺,司南,Mandopop,Chill,Medium,Medium
归潮,蔡明希-不才,Mandopop,Chill,Medium,Medium
小镇,山止川行 / 覆予,Mandopop,Chill,Medium,Medium
三寸月光,邹秋实,Mandopop,Chill,Medium,Medium
撞过南墙,袁kk,Mandopop,Chill,Medium,Medium
谷底有花,画久,Mandopop,Chill,Medium,Medium
瓷意千年,Jason嘉 / HITA / Aki阿杰,Mandopop,Chill,Medium,Medium
追着风长大,茶二娘 / 礼越,Mandopop,Chill,Medium,Medium
一卷小河山,中国绊爱,Mandopop,Romantic,Medium,Medium
了了,上上 / 周梓琦 / 杨秉音,Mandopop,Chill,Medium,Medium
两不疑,汪晨蕊 / 邓建东,Mandopop,Chill,Medium,Medium
长大成人,小阿七,Mandopop,Chill,Medium,Medium
酒家,小阿七,Mandopop,Chill,Medium,Medium
让风告诉你,花玲 / 喵酱油 / 宴宁 / Kinsen,Mandopop,Chill,Medium,Medium
不散的花,泠鸢yousa,Mandopop,Chill,Medium,Medium
离别开出花,就是南方凯,Mandopop,Chill,Medium,Medium
月行船,张郁梓,Mandopop,Chill,Medium,Medium
先生,说说Crystal,Mandopop,Sad,Slow,Low
天知河 (Live),说说Crystal,Mandopop,Sad,Slow,Low
萤火飞光,圈9,Mandopop,Chill,Medium,Medium
sonder,司南,Mandopop,Chill,Medium,Medium
青衫薄,KBShinya / 哦漏 / 排骨教主 / 萧忆情Alex,Mandopop,Chill,Medium,Medium
苏东坡,司南,Mandopop,Chill,Medium,Medium
风过谢桃花,司南 / 国风新语 / 汐音社,Mandopop,Chill,Medium,Medium
慕夏,邓寓君(等什么君),Mandopop,Chill,Medium,Medium
故人泪,麦小兜,Mandopop,Chill,Medium,Medium
初听,杨一歌,Mandopop,Chill,Medium,Medium
她的名字,肥阳,Mandopop,Chill,Medium,Medium
春风谣,余又,Mandopop,Chill,Medium,Medium
第一枚月亮,少司命,Mandopop,Chill,Medium,Medium
怕见飞花,雪球,Mandopop,Chill,Medium,Medium
一步一响,画久,Mandopop,Chill,Medium,Medium
长夜杯空,说说Crystal,Mandopop,Sad,Slow,Low
江湖入怀,括号君,Mandopop,Chill,Medium,Medium
不问天,说说Crystal,Mandopop,Sad,Slow,Low
约定的梦想,括号君,Mandopop,Chill,Medium,Medium
花间一壶酒,SING女团 / SING-许诗茵 / SING-林悠悠 / SING-宗思雨,Mandopop,Chill,Medium,Medium
何日重到苏澜桥,泠鸢yousa,Mandopop,Chill,Medium,Medium
岁月神偷 (Live),汪苏泷,Mandopop,Romantic,Medium,Medium
春不晚,司南,Mandopop,Chill,Medium,Medium
花海 (2023乘风破浪的姐姐现场),龚琳娜 / MARiA (美依礼芽),Mandopop,Chill,Medium,Medium
时光洪流,默默酱,Mandopop,Chill,Medium,Medium
再见深海 (微亮的瞬间),唐汉霄,Mandopop,Sad,Slow,Low
泸沽寻梦,银临,Mandopop,Chill,Medium,Medium
纸墨江南,茶二娘,Mandopop,Chill,Medium,Medium
儿时调,回音哥,Mandopop,Chill,Medium,Medium
朱砂,任然 / Xun,Mandopop,Chill,Medium,Medium
胭脂妆,树屋女孩,Mandopop,Chill,Medium,Medium
月牙湾,泠鸢yousa,Mandopop,Chill,Medium,Medium
绮凝盏,hanser / 双笙 (陈元汐),Mandopop,Chill,Medium,Medium
多情岸,三无Marblue,Mandopop,Chill,Medium,Medium
烟雨行舟,司南,Mandopop,Chill,Medium,Medium
探窗,国风新语 / 浮生梦 / 汐音社,Mandopop,Chill,Medium,Medium
戏影,彭十六,Mandopop,Chill,Medium,Medium
上里与手抄卷,双笙 (陈元汐) / 闫东炜,Mandopop,Chill,Medium,Medium
天府,双笙 (陈元汐),Mandopop,Chill,Medium,Medium
ツバメ(feat. ミドリーズ) (燕子),YOASOBI (ヨアソビ) / ミドリーズ,Mandopop,Chill,Medium,Medium
海底,阿萨Aza / 艾因Eine,Mandopop,Chill,Medium,Medium
归期,钱润玉Runyu,Mandopop,Energetic,Fast,High
花枪,SING女团,Mandopop,Chill,Medium,Medium
不谓侠,CRITTY,Mandopop,Chill,Medium,Medium
流年如歌 (COVER版),泠鸢yousa,Mandopop,Chill,Medium,Medium
春三月,司南,Mandopop,Chill,Medium,Medium
晨昏线,呦猫UNEKO,Mandopop,Chill,Medium,Medium
鹊引桥,hanser,Mandopop,Chill,Medium,Medium
除夕,音阙诗听 / A-SOUL,Mandopop,Chill,Medium,Medium
白石溪,双笙 (陈元汐) / 冥月,Mandopop,Chill,Medium,Medium
裁影为戏,三无Marblue / 国风引力,Mandopop,Chill,Medium,Medium
